Compiling main,go
Consumer started [ true PID Kp= 0,015475 Ki= 51,583617 Kd= 0 Goal= 400 Monitor Interval= 10 PC= 1 ]
1;25634;206,690 
9975;23478;2505,147 
1;55220;1085,570 
1;85644;234,096 
1;116247;221,186 
1;146528;223,750 
1;177303;231,187 
1;207722;226,989 
1;238326;213,491 
1;269005;177,696 
1;299343;222,984 
1;329840;218,797 
1;360165;229,697 
1;390800;196,794 
1;421278;211,794 
1;451750;222,486 
1;482177;214,790 
1;512687;215,296 
7305;513018;2447,246 
1;545408;806,751 
1;576067;196,181 
1;606461;220,397 
1;636910;214,894 
1;667481;186,085 
1;697949;205,279 
1;728318;216,698 
1;758917;190,395 
1;789288;223,096 
1;819855;198,097 
1;850083;224,088 
1;880389;214,984 
1;910942;174,497 
1183;922647;1795,090 
1;922179;119,898 
1;990953;87,199 
1;1021441;206,787 
1;1051790;218,892 
1;1082249;203,485 
1;1112680;214,198 
1;1143004;219,592 
8139;1145186;2220,262 
1;1176733;901,209 
1;1204900;202,691 
1;1238084;209,896 
1;1267124;208,664 
1;1300131;234,069 
1;1329876;210,933 
1;1361958;213,465 
1;1395319;197,397 
1;1395303;1,599 
1;1395270;3,297 
1;1395231;3,796 
10000;1499738;1594,623 
1;1508173;1001,152 
1;1563555;53,594 
1;1593692;232,896 
1;1623847;236,095 
1;1653976;238,886 
1;1684029;233,075 
1;1714579;236,387 
1;1744672;232,985 
1;1774795;232,682 
2998;1782032;2191,247 
