Compiling main,go
Consumer started [ true PID Kp= 0,059876 Ki= 532,2303598 Kd= 0 Goal= 400 Monitor Interval= 10 PC= 1 ]
1;30156;253,898 
10000;28072;2506,149 
1;59565;1146,663 
1;90005;243,491 
1;120401;243,885 
1;150878;241,092 
1;181233;237,991 
1;211777;232,597 
1;242232;237,687 
1;272744;231,193 
1;303291;226,194 
1;333831;234,795 
1;364369;234,287 
1;394910;223,189 
1;425404;239,593 
1;455960;232,994 
1;486706;212,997 
1;517323;208,484 
1;548062;213,785 
1;578768;209,698 
10000;576446;2447,494 
1;609865;1053,473 
1;640239;231,760 
1;670804;198,392 
1;700879;189,302 
1;734231;195,382 
1;764783;217,520 
1;780102;104,354 
1;780071;2,999 
1;860552;194,144 
1;892817;220,295 
1;923439;209,597 
1;954111;200,897 
1;984625;207,995 
10000;985452;2187,764 
1;988883;1001,479 
1;1050036;34,000 
1;1080358;206,506 
1;1111362;213,394 
1;1141918;210,991 
1;1172570;198,700 
1;1203283;194,298 
1;1234018;206,772 
1;1264638;184,798 
1;1295292;194,967 
1;1326026;200,584 
1;1356458;222,595 
10000;1334705;2105,578 
1;1333484;1001,285 
1;1397997;9,592 
1;1455483;192,588 
1;1485910;224,394 
1;1516141;232,676 
1;1547332;97,192 
1;1577763;235,795 
1;1608015;234,896 
1;1638366;234,180 
1;1668613;228,197 
1;1699400;163,597 
